"rank","net_worth","category","personName","age","country","city","source","industries","countryOfCitizenship","organization","selfMade","gender","title","state","residenceStateRegion","cpi_country","cpi_change_country","gdp_country","gross_tertiary_education_enrollment","gross_primary_education_enrollment_country","life_expectancy_country","tax_revenue_country_country","total_tax_rate_country","population_country","latitude_country","longitude_country","gdp_country_numeric","log_net_worth","log_cpi_country","log_cpi_change_country","log_gross_primary_education_enrollment_country","exp_life_expectancy_country","exp_latitude_country"
26,45000,"Technology","Zhang Yiming",39,"China","Beijing","TikTok","Technology","China","ByteDance",TRUE,"M","Founder","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,10.7144177687525,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
27,42900,"Fashion & Retail","Dieter Schwarz",83,"Germany","Neckarsulm","Retail","Fashion & Retail","Germany","",FALSE,"M","","","",112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,10.6666271049161,4.72605950326354,1.45861502269952,4.64439089914137,2.43423394896548,2.44824446910457
28,40100,"Fashion & Retail","François Pinault & family",86,"France","Paris","Luxury goods","Fashion & Retail","France","",TRUE,"M","","","",110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,2715518274227,10.5991316132947,4.70093480797247,1.38629436111989,4.62986279857846,2.5680421845777,2.33344849204226
29,39100,"Logistics","Klaus-Michael Kuehne",85,"Switzerland","Schindellegi","Shipping","Logistics","Germany","",FALSE,"M","","","",99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,703082435360,10.5738777459735,4.60066003051021,1.19392246847243,4.65586330030361,2.66427802339218,2.34688867910816
30,38900,"Food & Beverage","Giovanni Ferrero",58,"Belgium","Brussels","Nutella, chocolates","Food & Beverage","Italy","",FALSE,"M","","","",117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,24,55.4,11484055,50.503887,4.469936,529606710418,10.5687495296065,4.76311366405405,1.45861502269952,4.64342889810518,2.49189503253124,2.43253758654828
31,38300,"Food & Beverage","Jacqueline Mars",83,"United States","The Plains","Candy, pet food","Food & Beverage","United States","",FALSE,"F","","Virginia","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.5532051751687,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
31,38300,"Food & Beverage","John Mars",87,"United States","Jackson","Candy, pet food","Food & Beverage","United States","",FALSE,"M","","Wyoming","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.5532051751687,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
33,38000,"Diversified","Li Ka-shing",94,"Hong Kong","","Diversified","Diversified","Hong Kong","CK Hutchison Holdings",TRUE,"M","Senior Advisor","","",,,"",,,,,,,,,,10.5453414387085,,,,,
34,35300,"Technology","Ma Huateng",51,"China","Shenzhen","Internet media","Technology","China","Tencent Holdings",TRUE,"M","Chairman and CEO","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,10.4716382429214,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
35,35000,"Gambling & Casinos","Miriam Adelson & family",77,"United States","Las Vegas","Casinos","Gambling & Casinos","United States","",FALSE,"F","","Nevada","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.4631033404715,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
35,35000,"Finance & Investments","Ken Griffin",54,"United States","Miami","Hedge funds","Finance & Investments","United States","Citadel LLC",TRUE,"M","Founder & CEO","Florida","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.4631033404715,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
37,34700,"Food & Beverage","Mark Mateschitz",30,"Austria","Salzburg","Red Bull","Food & Beverage","Austria","",FALSE,"M","","","",118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072,446314739528,10.454494965935,4.77119296981254,1.48160454092422,4.63569939102291,2.49189503253124,2.36287514002
38,33400,"Automotive","Robin Zeng",54,"China","Ningde","Batteries","Automotive","Hong Kong","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,10.4163111789648,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
39,32600,"Fashion & Retail","Tadashi Yanai & family",74,"Japan","Tokyo","Fashion retail","Fashion & Retail","Japan","",TRUE,"M","","","",105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,5081769542380,10.3920675673548,4.65852136148509,1.22377543162212,4.59309760475382,2.71828182845905,2.11672992888406
40,32100,"Diversified","Len Blavatnik",65,"United Kingdom","London","Music, chemicals","Diversified","United States","",TRUE,"M","","","",119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,2827113184696,10.3766113091181,4.78432005161641,1.52605630349505,4.61709875685337,2.46701775234324,2.55062304100837
41,31600,"Fashion & Retail","Alain Wertheimer",74,"United States","New York","Chanel","Fashion & Retail","France","",FALSE,"M","","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.360912399575,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
41,31600,"Fashion & Retail","Gerard Wertheimer",72,"United States","New York","Chanel","Fashion & Retail","France","",FALSE,"M","","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.360912399575,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
43,31200,"Logistics","Gianluigi Aponte",82,"Switzerland","Geneva","Shipping","Logistics","Switzerland","",TRUE,"M","","","",99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,703082435360,10.3481733737976,4.60066003051021,1.19392246847243,4.65586330030361,2.66427802339218,2.34688867910816
43,31200,"Logistics","Rafaela Aponte-Diamant",78,"Switzerland","Geneva","Shipping","Logistics","Switzerland","",TRUE,"F","","","",99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,703082435360,10.3481733737976,4.60066003051021,1.19392246847243,4.65586330030361,2.66427802339218,2.34688867910816
45,30200,"Technology","Colin Zheng Huang",43,"China","Shanghai","E-commerce","Technology","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,10.315597203363,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
46,29700,"Manufacturing","Reinhold Wuerth & family",87,"Germany","Kuenzelsau","Fasteners","Manufacturing","Germany","",TRUE,"M","","","",112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,10.2989023247908,4.72605950326354,1.45861502269952,4.64439089914137,2.43423394896548,2.44824446910457
47,29500,"Real Estate","Lee Shau Kee",95,"Hong Kong","Hong Kong","Real estate","Real Estate","Hong Kong","",TRUE,"M","","","",,,"",,,,,,,,,,10.2921455423279,,,,,
48,28500,"Finance & Investments","Jeff Yass",64,"United States","Haverford","Trading, investments","Finance & Investments","United States","",TRUE,"M","","Pennsylvania","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.2576593662567,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
