match_date,league,home_team,away_team,home_score,away_score,avg_odds_home_win,avg_odds_draw,avg_odds_away_win,result,p_home,p_draw,p_away
2005-04-02,England: Premier League,Charlton,Manchester City,2,2,2.064,3.197,3.335,D,0.44159940404347353,0.2850988958228744,0.273301700133652
2005-04-02,England: Premier League,Arsenal,Norwich,4,1,1.1764,5.7245,9.99,H,0.7557091435415436,0.1553002421979687,0.08899061426048767
2005-04-02,England: Premier League,Birmingham,Tottenham,1,1,2.2936,3.1809,2.9027,D,0.39821366534444874,0.28713347254991595,0.31465286210563537
2005-04-02,England: Premier League,Crystal Palace,Middlesbrough,0,1,2.351,3.188,2.772,A,0.38676085916046743,0.28521793597435974,0.3280212048651728
2005-04-02,England: Premier League,Liverpool,Bolton,1,0,1.8182,3.2236,4.2591,H,0.5022789661422008,0.28329929775398616,0.2144217361038129
2005-04-02,England: Premier League,Manchester United,Blackburn,0,0,1.2509,4.8991,10.2391,D,0.7259519947614265,0.18535921909066327,0.08868878614791029
2005-04-02,England: Premier League,Newcastle Utd,Aston Villa,0,3,1.653,3.388,5.052,A,0.5509351638767412,0.26880042086430145,0.1802644152589575
2005-04-02,England: Premier League,Southampton,Chelsea,1,3,6.077,3.5,1.537,A,0.14947477932985118,0.25953092399643013,0.5909942966737187
2005-04-03,England: Premier League,Fulham,Portsmouth,3,1,2.051,3.196,3.374,H,0.4445188288382395,0.2852653685692207,0.2702158025925398
2005-04-03,England: Premier League,West Brom,Everton,1,0,2.634,3.187,2.464,H,0.34536634675172323,0.28543927120929996,0.3691943820389768
2005-04-09,England: Premier League,Blackburn,Southampton,3,0,2.0018,3.1727,3.5673,H,0.45618399608922894,0.28782712622416823,0.2559888776866029
2005-04-09,England: Premier League,Bolton,Fulham,3,1,1.7173,3.3309,4.6818,H,0.5312452618828816,0.2738921877665113,0.19486255035060715
2005-04-09,England: Premier League,Chelsea,Birmingham,1,1,1.2455,4.9627,9.8436,D,0.7259521990016907,0.1821938589591565,0.09185394203915294
2005-04-09,England: Premier League,Manchester City,Liverpool,1,0,2.7418,3.1818,2.4036,H,0.33306476059510987,0.28700639908217745,0.3799288403227126
2005-04-09,England: Premier League,Middlesbrough,Arsenal,0,1,4.8409,3.3409,1.6927,A,0.18836472374265972,0.27293687065336936,0.538698405603971
2005-04-09,England: Premier League,Portsmouth,Charlton,4,2,2.2555,3.1936,2.9509,H,0.4047600847577584,0.28586434468033695,0.30937557056190457
2005-04-09,England: Premier League,Norwich,Manchester United,2,0,8.446,4.126,1.363,H,0.10818244411069965,0.2214515082304821,0.6703660476588181
2005-04-10,England: Premier League,Aston Villa,West Brom,1,1,1.8382,3.2555,4.1445,D,0.49796531012955575,0.28117334759027784,0.22086134228016638
